dataset,strategy,fit_method,accuracy,brier_score,time,num_rules,num_preds,trial_count
Nursery,greedy,CON-FOLD (confidence_fit),0.9297839506172839,0.9392736311508864,3.029412269592285,31,21,30
Nursery,greedy,CON-FOLD (confidence_fit),0.935570987654321,0.9459465320325612,3.25604510307312,34,19,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9375,0.9453456841137717,3.1265084743499756,31,19,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9382716049382716,0.9459528188340659,3.1571266651153564,27,17,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9263117283950617,0.9364993302778546,3.354994535446167,37,21,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9263117283950617,0.9379154991393516,3.2061283588409424,28,15,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9375,0.94514968203422,3.074629068374634,30,17,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9382716049382716,0.9464431370403932,3.1281332969665527,38,24,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9525462962962963,0.9572426523912033,3.3071978092193604,46,20,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9602623456790124,0.963385544918787,3.4533207416534424,42,23,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9328703703703703,0.9419785265403947,3.155320644378662,39,18,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9236111111111112,0.9374644814503085,3.4472575187683105,42,17,30
Nursery,greedy,CON-FOLD (confidence_fit),0.939429012345679,0.9465811055000762,3.4645822048187256,31,21,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9286265432098766,0.9387705666301296,3.3224432468414307,32,20,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9456018518518519,0.9517977753589881,3.6498894691467285,43,22,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9606481481481481,0.9643195028035102,3.7581756114959717,47,23,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9382716049382716,0.9455613426420139,3.6964282989501953,33,20,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9243827160493827,0.9366429138748444,3.5305168628692627,30,17,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9463734567901234,0.9513227356600688,3.9328367710113525,41,24,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9479166666666666,0.9531205451543231,4.2730395793914795,45,27,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9641203703703703,0.9662475991974159,3.8786885738372803,47,25,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9351851851851852,0.9445336269404313,4.014151573181152,40,18,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9479166666666666,0.9530589749040113,3.9477522373199463,45,20,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9641203703703703,0.9661694009662034,4.3442792892456055,52,26,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.23610496520996094,2,7,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.10885882377624512,0,0,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.2545013427734375,2,7,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.23729157447814941,1,8,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.2565164566040039,2,7,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.2562119960784912,2,7,30
Nursery,round_robin,FOLD-RM (fit),0.00038580246913580245,0.7499980709876544,0.254652738571167,1,7,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.7499797453703704,0.2719736099243164,1,7,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.24517822265625,2,7,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.14713382720947266,0,0,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.24943876266479492,2,7,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.26729702949523926,1,8,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.2664806842803955,2,7,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.30449962615966797,2,7,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.3173387050628662,2,7,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.277446985244751,2,7,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.2794630527496338,2,7,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.26676273345947266,2,7,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.2695488929748535,2,7,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.26262688636779785,2,7,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.25301361083984375,2,7,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.2566208839416504,2,7,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.2960329055786133,2,7,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.2767188549041748,2,7,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.24005508422851562,2,7,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.23659777641296387,2,7,30
